age,experience,education,job_title,location,company_size,skills,salary
50,14,Master,Accountant,Remote,Medium (200-1000),"Python, PowerPoint, Leadership, SQL, Communication, Excel, Machine Learning",113735
42,32,Bachelor,Pharmacist,Atlanta,Startup (1-50),"SQL, Teamwork, Project Management, Excel, JavaScript, Communication, Python",142092
25,24,PhD,Risk Manager,Remote,Startup (1-50),"Communication, Project Management, JavaScript, Leadership, SQL, AWS, Python, Excel",140694
50,17,Master,Data Scientist,Remote,Small (50-200),"Machine Learning, Python, Excel, AWS, Communication, SQL",126053
50,14,Bachelor,Accountant,Atlanta,Large (1000+),"AWS, SQL, JavaScript, Excel, Project Management, PowerPoint, Leadership, Teamwork",113719
49,6,Master,Pharmacist,San Francisco,Startup (1-50),"SQL, AWS, Communication, Project Management, Python, PowerPoint",140651
26,25,Bachelor,Teacher,Los Angeles,Medium (200-1000),"Excel, Communication, Financial Modeling, SQL, Project Management, JavaScript, AWS",177716
36,28,Bachelor,Accountant,Chicago,Small (50-200),"Python, Machine Learning, SQL, Teamwork, Communication, PowerPoint",141248
49,24,Bachelor,Software Engineer,New York,Startup (1-50),"Communication, Financial Modeling, JavaScript, SQL, Python, Leadership",191578
36,31,Bachelor,Risk Manager,Austin,Startup (1-50),"Project Management, Financial Modeling, Excel, Communication, Teamwork",117451
49,22,Bachelor,Software Engineer,New York,Medium (200-1000),"Financial Modeling, SQL, Teamwork, Python, Communication, Machine Learning",250746
26,33,Master,Nurse,New York,Startup (1-50),"Python, PowerPoint, JavaScript, Project Management, Teamwork, Financial Modeling, SQL",310271
54,39,Bachelor,Investment Banker,New York,Medium (200-1000),"Teamwork, Excel, JavaScript, Financial Modeling, Python",275509
33,4,PhD,Risk Manager,Atlanta,Medium (200-1000),"Project Management, JavaScript, SQL, PowerPoint, Teamwork, Communication, Python, Leadership",115970
56,24,Master,Teacher,San Francisco,Small (50-200),"SQL, Financial Modeling, Machine Learning, PowerPoint, Teamwork, JavaScript, Excel",203733
54,11,Bachelor,Teacher,Boston,Small (50-200),"Machine Learning, Leadership, Communication, Project Management, PowerPoint, AWS, Python",106537
56,16,PhD,Teacher,Seattle,Small (50-200),"SQL, Project Management, Leadership, Financial Modeling, Excel, Communication, PowerPoint, AWS",144752
24,17,Bachelor,Product Manager,Denver,Small (50-200),"JavaScript, AWS, Financial Modeling, Machine Learning, Teamwork, Communication",141977
50,25,Master,Medical Technician,Remote,Medium (200-1000),"Excel, Communication, Project Management, JavaScript, SQL",175519
46,21,Bachelor,Sales Executive,Austin,Small (50-200),"Project Management, SQL, Machine Learning, Leadership, Excel, PowerPoint",96688
53,29,Bachelor,Investment Banker,Austin,Large (1000+),"Project Management, JavaScript, Excel, SQL, AWS, Communication",183327
47,22,Bachelor,Pharmacist,Seattle,Startup (1-50),"Communication, Machine Learning, Leadership, AWS, Teamwork, PowerPoint",152384
26,21,Master,Product Manager,Remote,Large (1000+),"Leadership, Machine Learning, SQL, Communication, AWS",177648
42,38,Bachelor,UX Designer,Los Angeles,Small (50-200),"Teamwork, Project Management, Python, Excel, Machine Learning, Financial Modeling",278870
25,15,High School,Data Scientist,New York,Large (1000+),"Project Management, PowerPoint, Leadership, JavaScript, Excel, Python, Teamwork, Machine Learning",199402
33,2,Master,Investment Banker,Remote,Medium (200-1000),"Financial Modeling, JavaScript, Excel, AWS, Project Management",93291
55,6,Bachelor,Medical Technician,Denver,Large (1000+),"Teamwork, Excel, SQL, Communication, PowerPoint",108343
45,22,PhD,UX Designer,New York,Medium (200-1000),"PowerPoint, Communication, JavaScript, SQL, Financial Modeling, AWS, Excel",330751
57,11,PhD,Pharmacist,Atlanta,Medium (200-1000),"SQL, Financial Modeling, PowerPoint, Excel, Python, Teamwork, Communication",156106
44,15,Master,Medical Technician,Seattle,Small (50-200),"AWS, Financial Modeling, Python, Excel, SQL, Project Management",174925
38,37,High School,Medical Technician,Denver,Small (50-200),"SQL, PowerPoint, Project Management, Leadership, AWS, Python",189379
25,35,Bachelor,Pharmacist,Boston,Medium (200-1000),"Communication, Teamwork, Project Management, Machine Learning, Excel, Python, PowerPoint",275554
46,32,Bachelor,Financial Analyst,Remote,Large (1000+),"Communication, Project Management, SQL, Python, Financial Modeling, PowerPoint, Machine Learning, AWS",172819
35,14,Bachelor,Product Manager,Los Angeles,Startup (1-50),"Python, Machine Learning, Teamwork, PowerPoint, Project Management, SQL, JavaScript, AWS",156829
49,27,Bachelor,DevOps Engineer,Boston,Medium (200-1000),"PowerPoint, Financial Modeling, Teamwork, Leadership, Project Management",214698
51,4,High School,Software Engineer,Boston,Startup (1-50),"Financial Modeling, SQL, AWS, Leadership, Teamwork, PowerPoint, Machine Learning, Excel",84834
22,20,High School,Financial Analyst,New York,Startup (1-50),"Leadership, AWS, Python, Teamwork, Excel, SQL",138663
30,0,PhD,Medical Technician,Austin,Small (50-200),"Python, AWS, Excel, JavaScript, Machine Learning",79374
26,29,Master,Sales Executive,Los Angeles,Medium (200-1000),"Python, Leadership, Project Management, JavaScript, Financial Modeling",221256
48,33,Bachelor,Financial Analyst,New York,Large (1000+),"Communication, Teamwork, Project Management, Excel, SQL, AWS, Financial Modeling, JavaScript",301119
41,23,High School,Financial Analyst,Seattle,Small (50-200),"SQL, Excel, Python, JavaScript, AWS, Leadership",116723
24,26,Master,UX Designer,San Francisco,Large (1000+),"Machine Learning, PowerPoint, Leadership, Financial Modeling, SQL",381784
48,8,High School,Marketing Manager,Atlanta,Small (50-200),"SQL, PowerPoint, Excel, Communication, JavaScript, Machine Learning, Project Management",51852
43,13,Master,Teacher,Denver,Small (50-200),"AWS, SQL, Python, JavaScript, Teamwork, Excel",109144
59,34,Bachelor,UX Designer,Remote,Medium (200-1000),"Machine Learning, Teamwork, SQL, Communication, Financial Modeling",157905
39,35,Bachelor,Data Scientist,Denver,Large (1000+),"Communication, Python, Teamwork, Financial Modeling, Machine Learning, PowerPoint, SQL",259782
54,21,Bachelor,Financial Analyst,Los Angeles,Large (1000+),"Python, SQL, Excel, AWS, JavaScript, Teamwork",236577
41,27,PhD,Marketing Manager,Boston,Small (50-200),"Excel, PowerPoint, Communication, Python, AWS, JavaScript",201750
25,18,Bachelor,Sales Executive,New York,Small (50-200),"Project Management, Teamwork, Financial Modeling, Leadership, JavaScript",155938
34,39,Master,Software Engineer,Seattle,Startup (1-50),"Project Management, Teamwork, AWS, SQL, JavaScript",238269
32,8,Bachelor,Product Manager,Chicago,Startup (1-50),"SQL, Leadership, PowerPoint, Python, Machine Learning, Communication, AWS, Teamwork",94246
35,25,PhD,Medical Technician,Remote,Startup (1-50),"SQL, Leadership, AWS, JavaScript, Project Management, Communication, Teamwork, Python",173007
35,39,Bachelor,Accountant,Chicago,Small (50-200),"Communication, Excel, SQL, Project Management, Python, JavaScript, Leadership",163940
57,28,Bachelor,Software Engineer,Seattle,Medium (200-1000),"Communication, PowerPoint, Teamwork, Financial Modeling, Project Management",200322
36,28,Bachelor,Marketing Manager,Austin,Large (1000+),"Financial Modeling, PowerPoint, JavaScript, Python, Excel, Leadership",142309
47,11,PhD,Investment Banker,San Francisco,Startup (1-50),"PowerPoint, Excel, Machine Learning, Project Management, Python, SQL, Financial Modeling, JavaScript",202541
50,13,PhD,Nurse,Los Angeles,Startup (1-50),"SQL, Project Management, Teamwork, Communication, Machine Learning",211715
30,9,Master,Risk Manager,Chicago,Medium (200-1000),"Teamwork, AWS, JavaScript, Python, Project Management, Financial Modeling",117032
45,24,Bachelor,Financial Analyst,Seattle,Large (1000+),"Machine Learning, Project Management, Financial Modeling, Teamwork, AWS",196563
43,27,Bachelor,Investment Banker,New York,Medium (200-1000),"Project Management, SQL, AWS, Teamwork, Python, JavaScript, Leadership, Excel",237499
40,17,Bachelor,Marketing Manager,San Francisco,Small (50-200),"Communication, Leadership, Financial Modeling, Project Management, JavaScript, Teamwork, AWS, PowerPoint",155638
31,18,Master,Software Engineer,Los Angeles,Medium (200-1000),"AWS, Teamwork, Leadership, JavaScript, Excel, Machine Learning, Communication, Project Management",252771
58,2,Master,Marketing Manager,Denver,Small (50-200),"Project Management, Python, PowerPoint, Machine Learning, SQL, Communication, Excel, JavaScript",86647
42,18,Bachelor,DevOps Engineer,San Francisco,Small (50-200),"Financial Modeling, Project Management, Teamwork, Python, Excel, Communication, PowerPoint",212491
51,8,Bachelor,Pharmacist,Chicago,Large (1000+),"AWS, JavaScript, PowerPoint, Project Management, SQL, Communication, Excel, Machine Learning",132044
23,24,Bachelor,Nurse,Austin,Small (50-200),"Communication, Machine Learning, Project Management, Python, AWS",147880
58,24,Bachelor,Pharmacist,Los Angeles,Startup (1-50),"PowerPoint, Financial Modeling, Leadership, Python, Teamwork, AWS",203712
38,25,Bachelor,Teacher,San Francisco,Large (1000+),"Teamwork, PowerPoint, Project Management, Financial Modeling, Excel, Leadership, SQL",233943
56,33,Bachelor,UX Designer,Denver,Startup (1-50),"Project Management, SQL, JavaScript, PowerPoint, Financial Modeling, Excel, Python, Leadership",177201
23,8,High School,Sales Executive,New York,Startup (1-50),"Python, Excel, Communication, AWS, JavaScript, SQL, Teamwork",77277
55,11,Bachelor,Pharmacist,New York,Startup (1-50),"AWS, SQL, Excel, Project Management, Communication",161554
27,7,Bachelor,Pharmacist,Remote,Startup (1-50),"AWS, Teamwork, Project Management, Machine Learning, Financial Modeling, Excel, JavaScript",85184
28,8,Bachelor,Investment Banker,San Francisco,Medium (200-1000),"JavaScript, Communication, Excel, Teamwork, Financial Modeling, Python",142205
58,39,Bachelor,Pharmacist,Los Angeles,Medium (200-1000),"Machine Learning, Communication, PowerPoint, Teamwork, AWS, Leadership, JavaScript, Financial Modeling",328786
55,29,High School,Medical Technician,San Francisco,Large (1000+),"SQL, Teamwork, Machine Learning, Project Management, Leadership, Financial Modeling, Excel",296696
51,24,Bachelor,UX Designer,New York,Small (50-200),"Machine Learning, Leadership, Project Management, PowerPoint, Teamwork, Python, JavaScript",219400
36,23,Bachelor,UX Designer,Seattle,Medium (200-1000),"Leadership, JavaScript, Python, Excel, Machine Learning, Communication, AWS",189578
31,33,Bachelor,Risk Manager,New York,Small (50-200),"AWS, Leadership, SQL, Machine Learning, Project Management, Python, Financial Modeling, PowerPoint",237111
